slot, allocate quality, display quality,pose,delay, throughput, video size
1,6,0,(null),9.733333,13.890255,136584
2,6,0,(null),12.54948,10.772527,136584
3,6,0,(null),12.776041,10.58235,136584
4,-1,0,(null),0.0,0.0,0
5,6,0,(null),1.652604,25.103508,42860
6,6,0,(null),3.819792,10.856956,42860
7,6,0,(null),0.0,0.0,0
8,6,0,(null),0.0,0.0,0
9,6,0,(null),0.0,0.0,0
10,6,0,(null),0.0,0.0,0
11,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
12,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
13,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
15,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
15,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
16,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
17,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
18,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
19,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
20,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
21,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
22,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
23,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
24,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
25,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
26,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
27,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
28,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
29,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
30,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
31,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
32,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
33,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
34,6,6,(0 0 -3.2963104 63.50255),0.0,0.0,0
35,6,6,(0 0 -3.6911774 63.614594),0.0,0.0,0
36,6,6,(0 0 -4.0860443 63.726654),0.0,0.0,0
37,6,6,(0 0 -4.4809265 63.838684),0.0,0.0,0
38,6,6,(0 0 -4.8757935 63.950745),0.0,0.0,0
39,6,6,(0 0 -5.6717834 64.440155),0.0,0.0,0
40,6,6,(0 0 -6.0782776 64.73529),0.0,0.0,0
41,6,6,(0 0 -6.3341675 64.99495),0.0,0.0,0
42,6,6,(0 0 -6.5900574 65.25461),0.0,0.0,0
43,6,6,(0 0 -6.7179565 65.50758),0.0,0.0,0
44,6,6,(0 0 -6.7542114 65.69931),0.0,0.0,0
45,6,6,(0 0 -6.7904663 65.89105),0.0,0.0,0
46,6,6,(0 0 -6.7755127 66.07718),0.0,0.0,0
47,6,6,(0 0 -6.7454987 66.199524),0.0,0.0,0
48,6,6,(0 0 -6.7454834 66.24411),0.0,0.0,0
49,6,6,(0 0 -6.735199 66.23303),0.0,0.0,0
50,6,6,(0 0 -6.7249146 66.221924),0.0,0.0,0
51,6,6,(0 0 -6.7233124 66.20395),0.0,0.0,0
52,6,6,(0 0 -6.785858 66.03203),0.0,0.0,0
53,6,6,(0 0 -6.8193207 65.881714),0.0,0.0,0
54,6,6,(0 0 -6.8992615 65.73726),0.0,0.0,0
55,6,6,(0 0 -6.9532166 65.58943),0.0,0.0,0
56,6,6,(0 0 -7.0071716 65.44162),0.0,0.0,0
57,6,6,(0 0 -7.1045074 65.262146),0.0,0.0,0
58,6,6,(0 0 -7.204071 65.13414),0.0,0.0,0
59,6,6,(0 0 -7.261154 64.94467),0.0,0.0,0
60,6,6,(0 0 -7.281128 64.830765),0.0,0.0,0
61,6,6,(0 0 -7.267975 64.68558),0.0,0.0,0
62,6,6,(0 0 -7.254837 64.540375),0.0,0.0,0
63,6,6,(0 0 -7.1782837 64.39215),0.0,0.0,0
64,6,6,(0 0 -7.1017303 64.24391),0.0,0.0,0
65,6,6,(0 0 -7.0637665 64.06517),0.0,0.0,0
66,6,6,(0 0 -7.042679 63.919296),0.0,0.0,0
67,6,6,(0 0 -6.9630127 63.779907),0.0,0.0,0
68,6,6,(0 0 -6.9108887 63.625824),0.0,0.0,0
69,6,6,(0 0 -6.8587494 63.471756),0.0,0.0,0
70,6,6,(0 0 -6.834427 63.36046),0.0,0.0,0
71,6,6,(0 0 -6.817856 63.230927),0.0,0.0,0
72,6,6,(0 0 -6.816452 63.136627),0.0,0.0,0
73,6,6,(0 0 -6.77594 63.023483),0.0,0.0,0
74,6,6,(0 0 -6.735443 62.91034),0.0,0.0,0
75,6,6,(0 0 -6.7091827 62.799362),0.0,0.0,0
76,6,6,(0 0 -6.6750793 62.655945),0.0,0.0,0
77,6,6,(0 0 -6.6409607 62.512543),0.0,0.0,0
78,6,6,(0 0 -6.5876617 62.405212),0.0,0.0,0
79,6,6,(0 0 -6.572052 62.306503),0.0,0.0,0
80,6,6,(0 0 -6.5104065 62.21779),0.0,0.0,0
81,6,6,(0 0 -6.491699 62.159607),0.0,0.0,0
82,6,6,(0 0 -6.4729767 62.10144),0.0,0.0,0
83,6,6,(0 0 -6.4447327 62.02092),0.0,0.0,0
84,6,6,(0 0 -6.419693 61.934845),0.0,0.0,0
85,6,6,(0 0 -6.3946686 61.848755),0.0,0.0,0
86,6,6,(0 0 -6.378601 61.756393),0.0,0.0,0
87,6,6,(0 0 -6.360138 61.679276),0.0,0.0,0
88,6,6,(0 0 -6.341675 61.602158),0.0,0.0,0
89,6,6,(0 0 -6.369217 61.508087),0.0,0.0,0
90,6,6,(0 0 -6.370804 61.413437),0.0,0.0,0
91,6,6,(0 0 -6.372406 61.318787),0.0,0.0,0
92,6,6,(0 0 -6.384918 61.253143),0.0,0.0,0
93,6,6,(0 0 -6.385132 61.189392),0.0,0.0,0
94,6,6,(0 0 -6.38533 61.12564),0.0,0.0,0
95,6,6,(0 0 -6.385803 61.024826),0.0,0.0,0
96,6,6,(0 0 -6.371643 60.972473),0.0,0.0,0
97,6,6,(0 0 -6.3574677 60.92012),0.0,0.0,0
98,6,6,(0 0 -6.3253937 60.85942),0.0,0.0,0
99,6,6,(0 0 -6.273224 60.822372),0.0,0.0,0
100,6,6,(0 0 -6.2210693 60.785324),0.0,0.0,0
101,6,6,(0 0 -6.1781006 60.752136),0.0,0.0,0
102,6,6,(0 0 -6.150528 60.71431),0.0,0.0,0
103,6,6,(0 0 -6.1229553 60.6765),0.0,0.0,0
104,6,6,(0 0 -6.075241 60.6232),0.0,0.0,0
105,6,6,(0 0 -6.0498047 60.559814),0.0,0.0,0
106,6,6,(0 0 -6.010559 60.503113),0.0,0.0,0
107,6,6,(0 0 -5.971298 60.44641),0.0,0.0,0
108,6,6,(0 0 -5.946579 60.310486),0.0,0.0,0
109,6,6,(0 0 -5.9240723 60.19156),0.0,0.0,0
110,6,6,(0 0 -5.9015503 60.07263),0.0,0.0,0
111,6,6,(0 0 -5.8983154 59.99565),0.0,0.0,0
112,6,6,(0 0 -5.9053497 59.825424),0.0,0.0,0
113,6,6,(0 0 -5.912384 59.655212),0.0,0.0,0
114,6,6,(0 0 -5.9116974 59.508896),0.0,0.0,0
115,6,6,(0 0 -5.9183807 59.384903),0.0,0.0,0
116,6,6,(0 0 -5.925064 59.260925),0.0,0.0,0
117,6,6,(0 0 -5.883789 59.105255),0.0,0.0,0
118,6,6,(0 0 -5.8326263 58.964767),0.0,0.0,0
119,6,6,(0 0 -5.7814484 58.82428),0.0,0.0,0
120,6,6,(0 0 -5.7391357 58.697845),0.0,0.0,0
121,6,6,(0 0 -5.7654724 58.614944),0.0,0.0,0
122,6,6,(0 0 -5.7918243 58.532043),0.0,0.0,0
123,6,6,(0 0 -5.749466 58.421738),0.0,0.0,0
124,6,6,(0 0 -5.7071686 58.2238),0.0,0.0,0
125,6,6,(0 0 -5.6648865 58.025864),0.0,0.0,0
126,6,6,(0 0 -5.609619 57.773727),0.0,0.0,0
127,6,6,(0 0 -5.5782623 57.51091),0.0,0.0,0
128,6,6,(0 0 -5.5469055 57.248108),0.0,0.0,0
129,6,6,(0 0 -5.5064087 56.976715),0.0,0.0,0
130,6,6,(0 0 -5.4391327 56.619125),0.0,0.0,0
131,6,6,(0 0 -5.3718567 56.261536),0.0,0.0,0
132,6,6,(0 0 -5.306534 55.76834),0.0,0.0,0
133,6,6,(0 0 -5.1881714 55.16339),0.0,0.0,0
134,6,6,(0 0 -5.069809 54.55844),0.0,0.0,0
135,6,6,(0 0 -5.0165405 53.928284),0.0,0.0,0
136,6,6,(0 0 -5.0272827 53.304306),0.0,0.0,0
137,6,6,(0 0 -5.038025 52.68033),0.0,0.0,0
138,6,6,(0 0 -5.008484 52.14331),0.0,0.0,0
139,6,6,(0 0 -4.9935913 51.590393),0.0,0.0,0
140,6,6,(0 0 -4.9786835 51.037476),0.0,0.0,0
141,6,6,(0 0 -4.9594727 50.585205),0.0,0.0,0
142,6,6,(0 0 -4.9179688 50.163895),0.0,0.0,0
143,6,6,(0 0 -4.87648 49.74257),0.0,0.0,0
144,6,6,(0 0 -4.82605 49.231308),0.0,0.0,0
145,6,6,(0 0 -4.79895 48.840088),0.0,0.0,0
146,6,6,(0 0 -4.7469482 48.437714),0.0,0.0,0
147,6,6,(0 0 -4.6949463 48.035355),0.0,0.0,0
148,6,6,(0 0 -4.683853 47.64586),0.0,0.0,0
149,6,6,(0 0 -4.6727753 47.256363),0.0,0.0,0
150,6,6,(0 0 -4.5454407 46.839462),0.0,0.0,0
151,6,6,(0 0 -4.465561 46.429047),0.0,0.0,0
152,6,6,(0 0 -4.385666 46.018646),0.0,0.0,0
153,6,6,(0 0 -4.362564 45.634613),0.0,0.0,0
154,6,6,(0 0 -4.316742 45.222534),0.0,0.0,0
155,6,6,(0 0 -4.2301483 44.68994),0.0,0.0,0
156,6,6,(0 0 -4.1435547 44.15738),0.0,0.0,0
157,6,6,(0 0 -4.0378876 43.46013),0.0,0.0,0
158,6,6,(0 0 -3.938385 42.753784),0.0,0.0,0
159,6,6,(0 0 -3.8388672 42.047455),0.0,0.0,0
160,6,6,(0 0 -3.8297577 41.495316),0.0,0.0,0
161,6,6,(0 0 -3.8206482 40.94319),0.0,0.0,0
162,6,6,(0 0 -3.7271729 40.324905),0.0,0.0,0
163,6,6,(0 0 -3.7220917 39.705475),0.0,0.0,0
164,6,6,(0 0 -3.690094 39.030975),0.0,0.0,0
165,6,6,(0 0 -3.6580963 38.35649),0.0,0.0,0
166,6,6,(0 0 -3.5953522 37.75769),0.0,0.0,0
167,6,6,(0 0 -3.4656982 37.152893),0.0,0.0,0
168,6,6,(0 0 -3.3360443 36.54811),0.0,0.0,0
169,6,6,(0 0 -3.234192 35.924164),0.0,0.0,0
170,6,6,(0 0 -3.0996704 35.22827),0.0,0.0,0
171,6,6,(0 0 -2.9651337 34.532394),0.0,0.0,0
172,6,6,(0 0 -2.7970276 33.83087),0.0,0.0,0
173,6,6,(0 0 -2.7076569 33.22467),0.0,0.0,0
174,6,6,(0 0 -2.6183014 32.618454),0.0,0.0,0
175,6,6,(0 0 -2.6001892 32.082108),0.0,0.0,0
176,6,6,(0 0 -2.579834 31.59729),0.0,0.0,0
177,6,6,(0 0 -2.5594788 31.112473),0.0,0.0,0
178,6,6,(0 0 -2.449173 30.663712),0.0,0.0,0
179,6,6,(0 0 -2.389618 30.207031),0.0,0.0,0
180,6,6,(0 0 -2.3300781 29.750336),0.0,0.0,0
181,6,6,(0 0 -2.3032684 29.296814),0.0,0.0,0
182,6,6,(0 0 -2.291214 28.876816),0.0,0.0,0
183,6,6,(0 0 -2.2791595 28.456802),0.0,0.0,0
184,6,6,(0 0 -2.2058716 28.057648),0.0,0.0,0
185,6,6,(0 0 -2.1411896 27.55481),0.0,0.0,0
186,6,6,(0 0 -2.0765076 27.051971),0.0,0.0,0
187,6,6,(0 0 -1.9911041 26.609406),0.0,0.0,0
188,6,6,(0 0 -1.9142761 26.173706),0.0,0.0,0
189,6,6,(0 0 -1.8374481 25.737991),0.0,0.0,0
190,6,6,(0 0 -1.7808075 25.237518),0.0,0.0,0
191,6,6,(0 0 -1.7650299 24.775452),0.0,0.0,0
192,6,6,(0 0 -1.7492523 24.313416),0.0,0.0,0
193,6,6,(0 0 -1.7527008 23.914932),0.0,0.0,0
194,6,6,(0 0 -1.7061615 23.459198),0.0,0.0,0
195,6,6,(0 0 -1.6535492 23.039017),0.0,0.0,0
196,6,6,(0 0 -1.6009369 22.61885),0.0,0.0,0
197,6,6,(0 0 -1.551178 22.236084),0.0,0.0,0
198,6,6,(0 0 -1.5014038 21.853302),0.0,0.0,0
199,6,6,(0 0 -1.5081024 21.404068),0.0,0.0,0
200,6,6,(0 0 -1.4354553 20.977936),0.0,0.0,0
201,6,6,(0 0 -1.4107666 20.59967),0.0,0.0,0
202,6,6,(0 0 -1.3860626 20.22139),0.0,0.0,0
203,6,6,(0 0 -1.2863922 19.821548),0.0,0.0,0
204,6,6,(0 0 -1.1890869 19.445404),0.0,0.0,0
205,6,6,(0 0 -1.0917969 19.06926),0.0,0.0,0
206,6,6,(0 0 -0.9744873 18.774857),0.0,0.0,0
207,6,6,(0 0 -0.9004669 18.427094),0.0,0.0,0
208,6,6,(0 0 -0.8264618 18.079315),0.0,0.0,0
209,6,6,(0 0 -0.8097534 17.810608),0.0,0.0,0
210,6,6,(0 0 -0.7850189 17.509293),0.0,0.0,0
211,6,6,(0 0 -0.76026917 17.207977),0.0,0.0,0
212,6,6,(0 0 -0.7201538 16.856995),0.0,0.0,0
213,6,6,(0 0 -0.72450256 16.557526),0.0,0.0,0
214,6,6,(0 0 -0.7288513 16.258057),0.0,0.0,0
215,6,6,(0 0 -0.7657013 15.985046),0.0,0.0,0
216,6,6,(0 0 -0.76057434 15.742645),0.0,0.0,0
217,6,6,(0 0 -0.75546265 15.500244),0.0,0.0,0
218,6,6,(0 0 -0.7622986 15.260086),0.0,0.0,0
219,6,6,(0 0 -0.77557373 15.016907),0.0,0.0,0
220,6,6,(0 0 -0.7888336 14.773727),0.0,0.0,0
221,6,6,(0 0 -0.87353516 14.503571),0.0,0.0,0
222,6,6,(0 0 -0.8888092 14.244766),0.0,0.0,0
223,6,6,(0 0 -0.8995209 14.031677),0.0,0.0,0
224,6,6,(0 0 -0.91023254 13.818573),0.0,0.0,0
225,6,6,(0 0 -0.9030304 13.690155),0.0,0.0,0
226,6,6,(0 0 -0.895813 13.561737),0.0,0.0,0
227,6,6,(0 0 -0.9731293 13.430481),0.0,0.0,0
228,6,6,(0 0 -1.028183 13.317871),0.0,0.0,0
229,6,6,(0 0 -1.0832214 13.205246),0.0,0.0,0
230,6,6,(0 0 -1.1260529 13.232681),0.0,0.0,0
231,6,6,(0 0 -1.1928558 13.2621155),0.0,0.0,0
232,6,6,(0 0 -1.2596588 13.291565),0.0,0.0,0
233,6,6,(0 0 -1.3165894 13.353149),0.0,0.0,0
234,6,6,(0 0 -1.3146973 13.476547),0.0,0.0,0
235,6,6,(0 0 -1.3128052 13.59996),0.0,0.0,0
236,6,6,(0 0 -1.2850952 13.887421),0.0,0.0,0
237,6,6,(0 0 -1.2441254 14.383087),0.0,0.0,0
238,6,6,(0 0 -1.2031403 14.878754),0.0,0.0,0
239,6,6,(0 0 -1.1831665 15.7486725),0.0,0.0,0
240,6,6,(0 0 -1.219223 16.691391),0.0,0.0,0
241,6,6,(0 0 -1.2224121 17.61705),0.0,0.0,0
242,6,6,(0 0 -1.2256012 18.54271),0.0,0.0,0
243,6,6,(0 0 -1.1760406 19.334457),0.0,0.0,0
244,6,6,(0 0 -1.1147614 20.074173),0.0,0.0,0
245,6,6,(0 0 -1.053482 20.813904),0.0,0.0,0
246,6,6,(0 0 -1.0393524 21.531906),0.0,0.0,0
247,6,6,(0 0 -1.0941467 22.337738),0.0,0.0,0
248,6,6,(0 0 -1.148941 23.14357),0.0,0.0,0
249,6,6,(0 0 -1.2782288 23.978989),0.0,0.0,0
250,6,6,(0 0 -1.3882446 24.84259),0.0,0.0,0
251,6,6,(0 0 -1.4982605 25.706192),0.0,0.0,0
252,6,6,(0 0 -1.5654755 26.529434),0.0,0.0,0
253,6,6,(0 0 -1.5792694 27.31372),0.0,0.0,0
254,6,6,(0 0 -1.5930634 28.098007),0.0,0.0,0
255,6,6,(0 0 -1.5590668 28.712662),0.0,0.0,0
256,6,6,(0 0 -1.5264587 29.350113),0.0,0.0,0
257,6,6,(0 0 -1.4938507 29.987549),0.0,0.0,0
258,6,6,(0 0 -1.4029694 30.630936),0.0,0.0,0
259,6,6,(0 0 -1.3648376 31.2724),0.0,0.0,0
260,6,6,(0 0 -1.3266907 31.913864),0.0,0.0,0
261,6,6,(0 0 -1.2518616 32.52478),0.0,0.0,0
262,6,6,(0 0 -1.2279205 33.142807),0.0,0.0,0
263,6,6,(0 0 -1.2039795 33.76082),0.0,0.0,0
264,6,6,(0 0 -1.0905609 34.461823),0.0,0.0,0
265,6,6,(0 0 -0.9879608 35.114334),0.0,0.0,0
266,6,6,(0 0 -0.88534546 35.766846),0.0,0.0,0
267,6,6,(0 0 -0.8752594 36.54979),0.0,0.0,0
268,6,6,(0 0 -0.89738464 37.30298),0.0,0.0,0
269,6,6,(0 0 -0.9194946 38.056168),0.0,0.0,0
270,6,6,(0 0 -0.92092896 38.75528),0.0,0.0,0
271,6,6,(0 0 -0.8514252 39.4711),0.0,0.0,0
272,6,6,(0 0 -0.7819214 40.186935),0.0,0.0,0
273,6,6,(0 0 -0.69773865 41.017868),0.0,0.0,0
274,6,6,(0 0 -0.7110901 41.838806),0.0,0.0,0
275,6,6,(0 0 -0.7244415 42.65976),0.0,0.0,0
276,6,6,(0 0 -0.7251587 43.38388),0.0,0.0,0
277,6,6,(0 0 -0.7597656 44.10675),0.0,0.0,0
278,6,6,(0 0 -0.7943878 44.829605),0.0,0.0,0
279,6,6,(0 0 -0.97242737 45.63365),0.0,0.0,0
280,6,6,(0 0 -1.1050415 46.288116),0.0,0.0,0
281,6,6,(0 0 -1.2376556 46.942596),0.0,0.0,0
282,6,6,(0 0 -1.2789459 47.698837),0.0,0.0,0
283,6,6,(0 0 -1.3146667 48.36551),0.0,0.0,0
284,6,6,(0 0 -1.3106232 49.046143),0.0,0.0,0
285,6,6,(0 0 -1.3065643 49.72679),0.0,0.0,0
286,6,6,(0 0 -1.3023834 50.522903),0.0,0.0,0
287,6,6,(0 0 -1.352417 51.41394),0.0,0.0,0
288,6,6,(0 0 -1.4024506 52.304962),0.0,0.0,0
289,6,6,(0 0 -1.4477844 53.256958),0.0,0.0,0
290,6,6,(0 0 -1.433197 54.312653),0.0,0.0,0
291,6,6,(0 0 -1.4186096 55.368347),0.0,0.0,0
292,6,6,(0 0 -1.4593506 56.40349),0.0,0.0,0
293,6,6,(0 0 -1.450119 57.300568),0.0,0.0,0
294,6,6,(0 0 -1.4409027 58.197662),0.0,0.0,0
295,6,6,(0 0 -1.464508 58.97043),0.0,0.0,0
296,6,6,(0 0 -1.4554749 59.751633),0.0,0.0,0
297,6,6,(0 0 -1.4464569 60.532837),0.0,0.0,0
298,6,6,(0 0 -1.493866 61.05606),0.0,0.0,0
299,6,6,(0 0 -1.5506744 61.504425),0.0,0.0,0
300,6,6,(0 0 -1.6074677 61.95279),0.0,0.0,0
301,6,6,(0 0 -1.6000214 62.355255),0.0,0.0,0
302,6,6,(0 0 -1.590271 62.78798),0.0,0.0,0
303,6,6,(0 0 -1.5805359 63.220703),0.0,0.0,0
304,6,6,(0 0 -1.548172 63.665848),0.0,0.0,0
305,6,6,(0 0 -1.5596466 64.10858),0.0,0.0,0
306,6,6,(0 0 -1.571106 64.55133),0.0,0.0,0
307,6,6,(0 0 -1.536438 65.01544),0.0,0.0,0
308,6,6,(0 0 -1.5342712 65.567444),0.0,0.0,0
309,6,6,(0 0 -1.5321045 66.11948),0.0,0.0,0
310,6,6,(0 0 -1.5215149 66.8291),0.0,0.0,0
311,6,6,(0 0 -1.5000763 67.50331),0.0,0.0,0
312,6,6,(0 0 -1.4786377 68.177536),0.0,0.0,0
313,6,6,(0 0 -1.3399811 68.97734),0.0,0.0,0
314,6,6,(0 0 -1.2607269 69.80403),0.0,0.0,0
315,6,6,(0 0 -1.1418762 70.61279),0.0,0.0,0
316,6,6,(0 0 -1.2213593 71.49867),0.0,0.0,0
317,6,6,(0 0 -1.2016602 72.34599),0.0,0.0,0
318,6,6,(0 0 -1.4174347 73.342224),0.0,0.0,0
