quality,ts,
31,39,93852083,
23,39,99709896,
15,39,27850521,
7,39,90560417,
95631,39,26342188,
95639,39,35747917,
3895,39,32128646,
3903,39,29463542,
3885,31,27358333,
3893,31,26093229,
95647,39,105595313,
41815,39,20620313,
41823,39,20778646,
3887,39,83767187,
41807,39,19591666,
41799,39,21068750,
59543,39,22030729,
59535,39,25183334,
59527,39,24476562,
84527,39,22521354,
84535,39,25152604,
84519,39,26384896,
87055,39,31413542,
87063,39,33584375,
87047,39,25611458,
89479,39,24315625,
89487,39,28119271,
89477,31,28997917,
89485,31,32886458,
89478,35,22170313,
89486,35,22782292,
91527,39,20892187,
91535,39,22338542,
91543,39,23206250,
91551,39,25770313,
93615,39,22163021,
93623,39,25588020,
93607,39,25472917,
93631,39,27661979,
96583,39,23258854,
96591,39,30453125,
96607,39,30436979,
96599,39,31991146,
98279,39,20675521,
98303,39,24213021,
98287,39,22786458,
98295,39,23207291,
99711,39,23860938,
99687,39,24627083,
99695,39,33753125,
101231,39,24065104,
101239,39,24648959,
101247,39,39596875,
101223,39,25837500,
102767,39,22607292,
102775,39,23298437,
102783,39,26671354,
102759,39,22593750,
105367,39,28113020,
105375,39,27723437,
105359,39,24821875,
105351,39,22357291,
109583,39,22571354,
109591,39,24367188,
109575,39,28164063,
109599,39,23540104,
118359,39,23765104,
118367,39,30773438,
126199,39,22669791,
126207,39,24272916,
133047,39,23140625,
133055,39,28905209,
133303,39,24044791,
133311,39,21814062,
5239,39,24257292,
5247,39,25520833,
14487,39,24176562,
14495,39,24494271,
20727,39,23809896,
20735,39,25442708,
20567,39,28182812,
20575,39,28427604,
28279,39,23570834,
28287,39,25935416,
33535,39,37372916,
33527,39,39198958,
34743,39,17906770,
34751,39,19571875,
34847,39,20591146,
34839,39,26446875,
35799,39,21134896,
35807,39,20981771,
36767,39,19672396,
36759,39,22929688,
37759,39,20608854,
37751,39,24161979,
39447,39,23634375,
39455,39,26546355,
39511,39,23957813,
39519,39,26497916,
126423,39,21639584,
126431,39,22279167,
118351,39,22688541,
118343,39,24918750,
126191,39,25062500,
126183,39,25254167,
133031,39,22622917,
133039,39,26013542,
4967,39,24861458,
4983,39,27430729,
4975,39,36118230,
4991,39,23407291,
14303,39,23289583,
14287,39,25672917,
14279,39,33293750,
14295,39,23137500,
20527,39,22468229,
20535,39,24510938,
20519,39,24980729,
20543,39,23743229,
28231,39,37243750,
28239,39,37519791,
28247,39,28780729,
28255,39,22962500,
33487,39,22276042,
33495,39,23932292,
33503,39,21463021,
33479,39,22672917,
34695,39,26227084,
34703,39,24509896,
34711,39,25426562,
34719,39,22913021,
35711,39,21907813,
35687,39,23088020,
35695,39,25533854,
35703,39,23537500,
36655,39,24162500,
36647,39,26789063,
36663,39,22209896,
36671,39,22297917,
37615,39,19598958,
37623,39,23783854,
37607,39,25267187,
39351,39,22928125,
39359,39,24461459,
39343,39,26017187,
39335,39,21370312,
42351,39,21346875,
42343,39,27159375,
42359,39,22700000,
44271,39,21193229,
44279,39,25185938,
44263,39,26881771,
42503,39,25621354,
42511,39,27731250,
42519,39,29509375,
39599,39,21855729,
39591,39,26022396,
39607,39,30674479,
39367,39,23827083,
39375,39,24739062,
39383,39,22603646,
37639,39,22561458,
37647,39,23726563,
37655,39,27305208,
37743,39,20377604,
37735,39,23819792,
37751,39,22302083,
36743,39,20822396,
36751,39,25930729,
36759,39,31970833,
36871,39,20896875,
36879,39,23383854,
36887,39,23709375,
35919,39,36303125,
35911,39,39262500,
35927,39,40848959,
35943,39,24904166,
35951,39,25435417,
35959,39,23097917,
34927,39,22113542,
34919,39,23743229,
34935,39,28173437,
34959,39,22579167,
34951,39,27246354,
34967,39,24445313,
44287,39,24497917,
45103,39,24562500,
45095,39,27424479,
45111,39,23540625,
45119,39,24084375,
45871,39,22698959,
45879,39,25082292,
45863,39,24832292,
47143,39,22375520,
47151,39,24384375,
47159,39,21970312,
48151,39,22650000,
48143,39,25083334,
48135,39,22554166,
49063,39,22815104,
49071,39,23948958,
49079,39,24730729,
49087,39,21363021,
50039,39,22410938,
50047,39,23742708,
50031,39,22389062,
50023,39,20646875,
