quality,ts,
17,35,28064428,
23,35,31294636,
15,27,54011407,
21,27,60340000,
11,35,17573229,
9,27,33788906,
14,23,16871250,
8,23,20111146,
0,15,17168229,
18,15,16872292,
6,15,20041407,
5,35,15128750,
12,15,15153229,
10,31,17984271,
4,31,19393334,
3,27,15575573,
2,23,15070937,
71721,27,19520365,
71733,27,22733386,
71727,27,29086302,
71724,15,18748073,
71718,15,24192761,
2910,15,16901041,
2916,15,15113803,
2922,15,16932292,
31356,15,16173958,
31362,15,19173281,
31353,27,16237343,
31359,27,17776407,
31347,27,16228073,
31344,15,20192865,
44655,27,15564688,
44649,27,19380990,
44643,27,15081354,
63393,27,16478958,
63399,27,18183177,
63387,27,15753959,
65289,27,16167084,
65295,27,18355729,
65283,27,15241979,
65284,31,15918229,
65290,31,18905416,
65296,31,15357552,
67113,27,16692813,
67107,27,19401875,
68643,27,15677605,
68649,27,17691875,
68661,27,17698281,
68655,27,19356094,
70209,27,16158021,
70215,27,18962500,
70221,27,17504427,
70203,27,20967968,
72435,27,16912916,
72441,27,18547240,
72447,27,16415052,
72453,27,19338125,
73707,27,15246459,
73725,27,19405208,
73713,27,16502865,
73719,27,16158542,
74781,27,21567448,
74763,27,23623594,
74769,27,26515677,
75927,27,18817239,
75921,27,22295000,
75933,27,15703386,
75915,27,18646302,
77073,27,15780625,
77079,27,19596875,
77085,27,21190781,
77067,27,15267084,
79029,27,16875312,
79023,27,21244427,
79017,27,15308281,
79011,27,18766979,
82179,27,18369062,
82185,27,20888281,
82191,27,22758542,
82197,27,20723698,
88773,27,19958021,
88767,27,27709219,
94653,27,19300312,
94647,27,26577709,
99783,27,19772812,
99789,27,22123021,
99981,27,16813802,
99975,27,20568698,
3933,27,17300990,
3927,27,20946875,
10863,27,19967813,
10869,27,25330469,
15543,27,19871354,
15549,27,23516355,
15429,27,18870677,
15423,27,22159427,
21213,27,20323437,
21207,27,24840416,
25143,27,18734843,
25149,27,21345261,
26055,27,21744687,
26061,27,24916250,
26127,27,24166771,
26133,27,27055000,
26847,27,15971614,
26853,27,20023594,
27567,27,19738125,
27573,27,23152709,
28311,27,20698385,
28317,27,25178698,
29583,27,20879062,
29589,27,27155833,
29631,27,20530312,
29637,27,23523906,
94815,27,21000521,
94821,27,29136041,
82184,23,20430104,
82190,23,25085521,
88761,27,20932500,
88755,27,17674010,
94641,27,17345937,
94647,27,16906250,
94640,23,17451511,
94646,23,15847865,
94635,27,15541302,
94653,27,15917187,
99783,27,18255209,
99789,27,17406510,
99771,27,14625312,
99777,27,17870990,
3729,27,15279479,
3735,27,15547760,
3723,27,17045625,
3741,27,14021823,
3726,15,15676823,
3732,15,16145833,
3738,15,18862136,
3734,23,14076042,
3740,23,18099844,
3722,23,15108386,
3728,23,14167761,
10706,23,19369166,
10712,23,23231510,
10724,23,26586093,
10718,23,15425989,
10719,27,18689219,
10725,27,17736979,
10713,27,16115469,
10707,27,14068490,
15392,23,15503750,
15398,23,15905625,
15386,23,15028802,
15404,23,17856979,
21170,23,17650625,
21176,23,18189740,
21182,23,16045781,
21188,23,15871771,
25112,23,17102135,
25118,23,16697031,
25124,23,14123229,
25106,23,14267187,
26018,23,17658282,
26024,23,16902344,
26030,23,21824323,
26036,23,15622396,
26780,23,18761354,
26762,23,23179166,
26768,23,23962292,
26774,23,18279844,
27482,23,15480156,
27488,23,14977813,
27500,23,16653282,
27494,23,18907396,
28208,23,15612448,
28214,23,15621979,
28202,23,14216927,
29510,23,19572864,
29516,23,22672864,
29504,23,16635260,
29498,23,19603906,
31754,23,17133490,
31760,23,17553803,
31766,23,14084844,
33200,23,17771406,
33206,23,18738281,
33194,23,16558490,
31874,23,19773541,
31880,23,21088073,
31886,23,20914375,
29690,23,20463438,
29696,23,18980261,
29702,23,24470677,
29522,23,17130937,
29528,23,20052604,
29534,23,16880885,
28226,23,15274844,
28232,23,15084688,
28238,23,15636406,
28304,23,15670208,
28298,23,17481198,
28310,23,16346198,
27554,23,17649688,
27560,23,16356979,
27566,23,16841614,
27650,23,16701302,
27656,23,16233177,
27662,23,17111042,
26942,23,15023073,
26930,23,17893698,
26936,23,22244791,
26954,23,15149843,
26966,23,14800781,
26960,23,22454740,
26186,23,18294062,
26198,23,18426562,
26192,23,19354271,
26210,23,15371927,
26216,23,17484428,
26222,23,18838178,
33212,23,16781250,
33818,23,20635886,
33824,23,26056823,
33830,23,16716666,
33836,23,15567344,
34400,23,15592865,
34406,23,13813125,
34394,23,15120469,
35354,23,16704844,
35360,23,16288959,
35366,23,14033542,
36104,23,14393698,
36110,23,16193594,
36098,23,13375365,
36800,23,18398594,
36794,23,21762916,
36806,23,16389010,
36812,23,16487395,
37532,23,17098698,
37526,23,19651979,
37520,23,15211771,
37514,23,18427708,
38960,23,20160157,
38966,23,19901458,
38972,23,18584323,
38954,23,17566615,
39104,23,16925833,
39110,23,16860000,
38984,23,19042760,
38990,23,17649167,
37544,23,14851510,
37550,23,13986666,
37598,23,16159375,
37592,23,16536875,
37616,23,19990261,
37622,23,19529062,
37664,23,17683698,
37670,23,16513334,
36902,23,15862240,
36896,23,17598802,
36926,23,15042604,
36920,23,17566822,
36974,23,15531093,
36968,23,16067031,
36998,23,16225000,
36992,23,18184843,
36224,23,14820104,
36230,23,14502865,
36248,23,16871093,
36254,23,16500364,
36272,23,17247135,
36278,23,16929948,
35528,23,18591927,
35534,23,18206146,
35552,23,16029271,
35558,23,15443959,
35576,23,16681198,
35582,23,15955365,
34766,23,16912761,
34760,23,17760625,
34784,23,15340208,
34790,23,18262448,
34808,23,15287448,
34814,23,15107864,
34832,23,16633021,
34838,23,17276562,
34736,23,15557916,
34742,23,21044740,
34712,23,18282552,
34718,23,20163854,
34694,23,16733750,
34688,23,18171979,
34670,23,18382969,
34664,23,22468490,
34646,23,16182031,
34640,23,17516041,
34622,23,17523854,
34616,23,18632187,
34568,23,15464896,
34574,23,15271250,
34550,23,15904166,
34544,23,18900313,
34478,23,17955990,
34472,23,19226563,
35432,23,15595157,
35438,23,16374531,
35384,23,16537188,
35390,23,17524896,
35504,23,17589740,
35510,23,18107552,
35372,23,16406979,
36116,23,17714740,
34412,23,17161511,
33200,23,18859531,
33206,23,17725521,
33194,23,16773907,
31760,23,13972813,
31766,23,15358334,
31754,23,15636198,
31772,23,17664479,
29510,23,23193177,
29504,23,24571875,
29498,23,19600573,
29516,23,21918854,
28214,23,17843906,
28208,23,19870261,
28220,23,15906719,
27494,23,15808229,
27488,23,19536042,
27500,23,15320833,
27482,23,16521615,
26774,23,16921354,
26780,23,19475312,
26768,23,17669063,
26762,23,19268542,
26018,23,15153802,
26024,23,15343542,
26030,23,16411302,
26036,23,17070208,
25106,23,17770781,
25112,23,16656302,
25118,23,15253959,
25124,23,19685938,
21182,23,15691146,
21176,23,16769011,
21188,23,17593438,
21170,23,14746042,
15398,23,16777969,
15404,23,17774739,
15392,23,16681198,
15386,23,17494063,
10706,23,17746875,
10712,23,17369062,
10724,23,17857188,
10718,23,18313386,
3734,23,14499115,
3728,23,17215417,
3740,23,15183437,
3722,23,21189271,
99770,23,16304375,
99776,23,17046666,
99782,23,15090989,
99788,23,13864740,
94652,23,18427240,
94646,23,20726354,
94640,23,14597396,
88754,23,19329948,
88760,23,20265000,
88766,23,19731927,
88772,23,17728073,
82190,23,17746146,
82196,23,18082864,
82178,23,21179375,
82184,23,19351198,
79028,23,18271875,
79010,23,18389479,
79016,23,15349583,
79022,23,15772500,
77066,23,17277500,
77078,23,15262135,
77072,23,21349323,
77084,23,14523281,
75914,23,15826823,
75926,23,14944896,
75920,23,15116302,
75932,23,16892552,
74768,23,16876823,
74774,23,14771928,
74780,23,15677552,
73718,23,15117292,
73712,23,16403333,
73724,23,15470729,
72452,23,17718281,
72434,23,19058646,
72440,23,18425989,
72446,23,15910104,
79544,23,18947135,
79550,23,23512240,
79556,23,21898750,
79548,15,15501823,
79542,15,22761927,
79554,15,17184114,
77070,15,16556354,
77076,15,15609583,
77082,15,19204844,
75918,15,14598854,
75924,15,16060156,
75930,15,16757031,
74772,15,15923438,
74766,15,22450260,
74778,15,15782031,
73710,15,15416146,
73716,15,13820000,
73722,15,20507292,
72438,15,14949896,
72444,15,15842969,
72450,15,19666511,
72432,15,15318698,
70206,15,16391406,
70212,15,15352916,
70218,15,16431615,
70200,15,16267656,
68652,15,14650782,
68658,15,15171458,
68640,15,18817656,
67104,15,19376094,
67110,15,17867135,
67116,15,14878854,
67122,15,13836145,
65292,15,15752187,
65298,15,15134270,
65280,15,19270156,
65286,15,20476146,
63390,15,16007239,
63384,15,16426146,
63396,15,17112708,
63402,15,19210521,
44646,15,17822604,
44652,15,14923073,
44658,15,15641718,
44640,15,19190104,
31344,15,18346875,
31350,15,14393698,
31356,15,15521875,
31362,15,13494896,
2916,15,14998646,
2922,15,14331771,
2904,15,20102187,
2910,15,20218438,
71718,15,14103177,
71724,15,14873541,
71730,15,15280469,
71712,15,16221042,
0,15,18625209,
6,15,17406615,
12,15,13869479,
18,15,13834428,
72414,15,19848021,
72420,15,17586459,
72426,15,16987865,
3678,15,13965469,
3684,15,18314687,
3690,15,15630573,
31374,15,16423021,
31386,15,17588593,
31380,15,22311407,
44670,15,17014687,
44676,15,22322760,
44742,15,16633697,
44748,15,14792969,
44754,15,14080313,
63462,15,18117031,
63468,15,16631041,
63474,15,17430365,
63534,15,14579479,
63546,15,15062396,
63540,15,16580261,
44682,15,16309062,
31662,15,16121094,
31668,15,14014323,
31674,15,20675520,
2886,15,17038334,
2892,15,15903803,
30,15,15227032,
36,15,16482239,
534,15,17744010,
540,15,16871146,
1302,15,19962760,
1308,15,16534792,
1326,15,14544896,
1332,15,19940364,
2838,15,18993229,
2844,15,18235052,
2840,23,14497968,
2846,23,14072188,
2863,19,15610417,
2869,19,16927448,
2864,23,15966562,
2870,23,15843438,
2858,23,19512448,
2857,19,18812239,
2834,23,16194167,
2832,15,19037969,
1322,23,15074635,
1334,23,15439219,
1320,15,19863229,
1328,23,20660573,
1298,23,16339063,
1304,23,16197500,
1296,15,18840573,
1310,23,16165209,
72098,23,17620000,
72104,23,18493177,
72110,23,21022604,
71810,23,14466510,
71816,23,16590000,
71822,23,14890521,
71738,23,17882292,
71750,23,15748229,
71744,23,18669739,
71737,19,18998021,
71749,19,19671875,
71743,19,20270572,
72420,15,19636302,
72414,15,20185573,
72410,23,19031979,
72416,23,13006146,
3678,15,14548906,
3674,23,17750104,
3684,15,18326511,
3680,23,14547291,
3686,23,14605000,
2906,23,17804792,
2904,15,19652604,
2916,15,19683229,
2910,15,20301875,
2912,23,18355417,
2918,23,19990990,
31352,23,16437917,
31346,23,18813802,
31358,23,23790313,
31364,23,17000000,
44648,23,18502552,
44654,23,19965052,
44642,23,15645208,
44660,23,15062448,
63392,23,16105729,
63386,23,18867864,
63398,23,19272083,
63404,23,14810365,
65294,23,17504323,
65288,23,20034948,
65282,23,21307448,
65300,23,15724062,
67112,23,15267396,
67118,23,15613750,
67124,23,14856146,
67106,23,15366510,
68642,23,16941770,
68648,23,16413229,
68654,23,14961094,
68660,23,17011823,
70214,23,15292500,
70202,23,16847187,
70208,23,16380937,
70220,23,14320520,
72446,23,14661042,
72440,23,15568489,
72434,23,14526666,
72452,23,15243073,
73712,23,15622448,
73718,23,15227813,
73706,23,14810625,
73724,23,13739167,
74774,23,18467084,
74762,23,16900677,
74780,23,19699375,
74768,23,13560260,
75914,23,18956354,
75926,23,22797396,
75932,23,22278594,
75920,23,16044792,
77066,23,18011667,
77072,23,17796250,
77084,23,17979688,
77078,23,18500313,
79016,23,17096771,
79022,23,16182761,
79010,23,16693229,
82184,23,16612187,
82190,23,16921458,
82178,23,19859011,
82196,23,18251979,
88760,23,16289688,
88754,23,20981979,
88766,23,15486615,
94640,23,21805417,
94646,23,21634636,
94634,23,20411666,
94652,23,21173802,
99776,23,14363385,
99782,23,15316458,
99788,23,21437760,
99770,23,15216459,
3728,23,17238073,
3734,23,17100104,
3740,23,14846510,
3722,23,15377812,
10712,23,16718645,
10718,23,21942240,
10706,23,15617500,
10724,23,17963646,
15392,23,17883125,
15404,23,18005625,
15398,23,19452344,
15397,19,16079322,
15391,19,18756979,
15386,23,14674010,
88772,23,17610416,
79028,23,16991250,
77672,23,16879635,
77666,23,18005364,
77678,23,16930937,
76298,23,15297136,
76310,23,14824479,
76304,23,15835833,
75938,23,16873282,
75944,23,16256146,
75950,23,16720365,
74882,23,15805000,
74888,23,15493177,
74894,23,16910104,
74906,23,19776719,
74912,23,16513542,
74918,23,15884114,
73802,23,18984948,
73814,23,17938438,
73808,23,19454323,
73874,23,14395312,
73880,23,14345937,
73886,23,17637969,
74000,23,17284844,
73994,23,19752396,
74006,23,18675312,
72866,23,15387812,
72872,23,13703021,
72878,23,17978125,
72938,23,15861406,
72944,23,15801094,
72950,23,16046667,
70850,23,15140729,
70856,23,14204791,
70862,23,17284271,
70880,23,16416563,
70874,23,18460000,
70886,23,16047708,
69194,23,14584271,
69200,23,15472916,
69206,23,17661979,
69224,23,14993021,
69218,23,15765677,
69230,23,15518594,
67664,23,17351354,
67658,23,20310521,
67670,23,17633906,
67682,23,16586823,
67694,23,14477500,
67688,23,18835677,
65810,23,14880104,
65816,23,14558490,
65822,23,15923854,
65834,23,16855261,
65840,23,18347552,
65846,23,17150312,
64106,23,16681407,
64112,23,20299114,
64118,23,23989687,
64130,23,16300625,
64136,23,20364844,
64142,23,18044948,
64154,23,15738021,
64160,23,14031771,
64166,23,17227187,
44954,23,13912656,
44960,23,15989166,
44966,23,18806511,
44978,23,14977708,
44984,23,14306406,
44990,23,14492395,
31688,23,15089063,
31694,23,15877448,
31682,23,18498698,
31706,23,15706771,
31718,23,15803594,
31712,23,20262917,
3704,23,14736563,
3698,23,16545573,
3710,23,14383959,
3716,23,15126979,
31748,23,18584323,
31742,23,21251146,
45014,23,18204219,
45020,23,17922552,
64196,23,15867031,
64190,23,21259271,
65876,23,16093490,
65870,23,17329895,
67724,23,19330052,
67718,23,24603177,
67142,23,17292916,
67148,23,16773646,
68684,23,16552812,
68678,23,20680677,
68708,23,15641614,
68702,23,20953125,
70244,23,14818333,
70238,23,17410417,
72470,23,16635781,
72476,23,17169531,
72500,23,15173802,
72494,23,17537865,
73742,23,15069531,
73748,23,15031250,
73741,19,14642031,
73747,19,15607761,
74828,23,16245834,
74822,23,19488490,
75974,23,15446042,
75980,23,16221823,
77102,23,16986406,
77108,23,16926510,
77096,23,16059688,
79052,23,16113333,
79046,23,17277396,
79040,23,14199583,
79070,23,15016302,
79076,23,15996823,
79064,23,17739948,
82208,23,15139375,
82214,23,15631875,
82220,23,17665781,
