slot, allocate quality, display quality,pose,delay, throughput, video size
1,1,0,(null),3.772761,3.4090734,14257
2,1,0,(null),2.249948,5.7172637,14257
3,1,0,(null),1.016979,3.1362,4587
4,1,0,(null),1.870886,1.7042307,4587
5,3,3,(0 0 -3.2963104 63.50255),5.145834,5.751389,30990
6,1,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
7,1,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
8,1,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
9,1,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
10,2,3,(0 0 -3.2963104 63.50255),2.85526,6.713081,20562
11,2,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
12,2,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
13,2,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
14,2,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
15,2,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
16,2,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
17,2,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
18,3,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
19,3,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
20,3,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
21,3,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
22,3,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
23,3,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
24,3,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
25,3,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
26,3,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
27,3,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
28,3,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
29,-1,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
30,-1,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
31,-1,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
32,3,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
33,3,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
34,3,3,(0 0 -3.2963104 63.50255),0.0,0.0,0
35,3,3,(0 0 -3.6911774 63.614594),0.0,0.0,0
36,3,3,(0 0 -4.0860443 63.726654),0.0,0.0,0
37,3,3,(0 0 -4.4809265 63.838684),0.0,0.0,0
38,3,3,(0 0 -4.8757935 63.950745),0.0,0.0,0
39,3,3,(0 0 -5.6717834 64.440155),0.0,0.0,0
40,3,3,(0 0 -6.0782776 64.73529),0.0,0.0,0
41,3,3,(0 0 -6.3341675 64.99495),0.0,0.0,0
42,3,3,(0 0 -6.5900574 65.25461),0.0,0.0,0
43,3,3,(0 0 -6.7179565 65.50758),0.0,0.0,0
44,3,3,(0 0 -6.7542114 65.69931),0.0,0.0,0
45,3,3,(0 0 -6.7904663 65.89105),0.0,0.0,0
46,3,3,(0 0 -6.7755127 66.07718),0.0,0.0,0
47,3,3,(0 0 -6.7454987 66.199524),0.0,0.0,0
48,3,3,(0 0 -6.7454834 66.24411),0.0,0.0,0
49,3,3,(0 0 -6.735199 66.23303),0.0,0.0,0
50,3,3,(0 0 -6.7249146 66.221924),0.0,0.0,0
51,3,3,(0 0 -6.7233124 66.20395),0.0,0.0,0
52,3,3,(0 0 -6.785858 66.03203),0.0,0.0,0
53,3,3,(0 0 -6.8193207 65.881714),0.0,0.0,0
54,3,3,(0 0 -6.8992615 65.73726),0.0,0.0,0
55,3,3,(0 0 -6.9532166 65.58943),0.0,0.0,0
56,3,3,(0 0 -7.0071716 65.44162),0.0,0.0,0
57,3,3,(0 0 -7.1045074 65.262146),0.0,0.0,0
58,3,3,(0 0 -7.204071 65.13414),0.0,0.0,0
59,3,3,(0 0 -7.261154 64.94467),0.0,0.0,0
60,3,3,(0 0 -7.281128 64.830765),0.0,0.0,0
61,3,3,(0 0 -7.267975 64.68558),0.0,0.0,0
62,3,3,(0 0 -7.254837 64.540375),0.0,0.0,0
63,3,3,(0 0 -7.1782837 64.39215),0.0,0.0,0
