39,57359427,,,,,
39,66259271,,,,,,
31,89510156,,,,,,
31,93464844,,,,,,
31,21516198,,,,,,
39,65312291,,,,,,
26,25040781,,,,,,
26,23991927,,,,,,
22,18134479,,,,,,
22,26881979,,,,,,
26,25558750,,,,,,
18,24453958,,,,,,
18,27163230,,,,,,
26,25525365,,,,,,
22,27532136,,,,,,
22,25291459,,,,,,
26,24311771,,,,,,
26,24924688,,,,,,
26,28032656,,,,,,
26,18374062,,,,,,
26,20658073,,,,,,
22,22267135,,,,,,
22,25288125,,,,,,
22,21682760,,,,,,
22,25914375,,,,,,
26,20443073,,,,,,
26,19228385,,,,,,
26,18106771,,,,,,
22,23872135,,,,,,
26,18950053,,,,,,
26,22062604,,,,,,
26,20938073,,,,,,
26,18755052,,,,,,
26,18412344,,,,,,
26,21273281,,,,,,
26,20360677,,,,,,
26,18884636,,,,,,
26,20156980,,,,,,
26,24345417,,,,,,
26,26135677,,,,,,
26,21812239,,,,,,
26,22740208,,,,,,
26,20467760,,,,,,
26,26185833,,,,,,
26,23314115,,,,,,
26,30510052,,,,,,
26,28101511,,,,,,
26,37616875,,,,,,
26,26343541,,,,,,
26,35172552,,,,,,
26,32048698,,,,,,
26,37652292,,,,,,
22,44359791,,,,,,
22,42180885,,,,,,
22,41662239,,,,,,
26,34031771,,,,,,
26,38354219,,,,,,
26,42568178,,,,,,
26,31906042,,,,,,
22,21243490,,,,,,
22,27335781,,,,,,
22,31468281,,,,,,
26,23217656,,,,,,
26,26319635,,,,,,
26,35235990,,,,,,
26,24773281,,,,,,
26,30845521,,,,,,
26,23971563,,,,,,
22,28302292,,,,,,
22,33864063,,,,,,
22,36150261,,,,,,
26,29901615,,,,,,
26,23730105,,,,,,
26,30606874,,,,,,
26,37887240,,,,,,
26,26063021,,,,,,
22,20762292,,,,,,
22,24611562,,,,,,
22,29770834,,,,,,
22,40409896,,,,,,
22,50899218,,,,,,
26,39586615,,,,,,
26,41657188,,,,,,
22,53791615,,,,,,
26,35933229,,,,,,
26,42588750,,,,,,
26,25814635,,,,,,
26,34510625,,,,,,
26,35729635,,,,,,
26,25531146,,,,,,
26,23851562,,,,,,
26,30006146,,,,,,
26,24097136,,,,,,
26,32940052,,,,,,
26,23020521,,,,,,
26,33659844,,,,,,
26,21003854,,,,,,
26,27073855,,,,,,
26,24619010,,,,,,
26,31147083,,,,,,
26,25692708,,,,,,
26,32972969,,,,,,
26,27950312,,,,,,
26,37873489,,,,,,
26,32538646,,,,,,
26,44116302,,,,,,
26,35216146,,,,,,
26,74066146,,,,,,
26,22564739,,,,,,
26,32732552,,,,,,
26,21718229,,,,,,
26,31915729,,,,,,
26,30329531,,,,,,
26,51390573,,,,,,
26,59609219,,,,,,
26,69398593,,,,,,
26,32160000,,,,,,
26,42957448,,,,,,
26,23385834,,,,,,
26,31074583,,,,,,
26,24510677,,,,,,
26,25210052,,,,,,
26,16233125,,,,,,
26,19437239,,,,,,
26,17330365,,,,,,
26,18658906,,,,,,
26,18586615,,,,,,
26,15833698,,,,,,
26,18093437,,,,,,
26,16989271,,,,,,
26,19079740,,,,,,
26,19938542,,,,,,
26,17124427,,,,,,
26,20914948,,,,,,
26,18219219,,,,,,
22,18311770,,,,,,
22,16141458,,,,,,
26,18786042,,,,,,
26,15278438,,,,,,
26,20475208,,,,,,
22,17009896,,,,,,
22,18325052,,,,,,
26,17548698,,,,,,
26,18875000,,,,,,
26,18710782,,,,,,
26,19996198,,,,,,
26,19271823,,,,,,
26,18069010,,,,,,
26,18964063,,,,,,
22,15529427,,,,,,
22,15898489,,,,,,
22,22034635,,,,,,
26,17996094,,,,,,
26,21105052,,,,,,
26,17920104,,,,,,
26,17679740,,,,,,
26,19981718,,,,,,
26,20872448,,,,,,
26,18330416,,,,,,
26,17671771,,,,,,
26,16100000,,,,,,
26,17017865,,,,,,
26,15557968,,,,,,
26,16580000,,,,,,
26,17720000,,,,,,
26,16557032,,,,,,
26,16498802,,,,,,
26,14003854,,,,,,
26,20012760,,,,,,
