quality,ts,
15,40791198,
15,38272240,
15,55560209,
15,20026667,
15,18833073,
15,18197604,
15,62847500,
15,18572968,
15,18867135,
15,15286250,
15,16177240,
15,15961407,
15,49062292,
15,19343229,
15,22561042,
15,17176041,
15,16362032,
15,18195730,
15,21410990,
15,17383646,
15,17518959,
15,16930417,
15,17538646,
15,16519479,
15,15953281,
15,17979219,
15,14975208,
15,19420052,
15,18824531,
15,17916979,
15,15218490,
15,20771511,
15,22268281,
15,16513438,
15,17290364,
15,24189844,
15,19847083,
15,18003854,
15,18323073,
15,17794427,
15,18079323,
15,16638125,
15,16765521,
15,16696302,
15,17183698,
15,19021718,
15,17545260,
15,16417240,
15,20247917,
15,21962083,
15,18430208,
15,19318907,
15,20854167,
15,19685833,
15,16932032,
15,16755521,
15,18060000,
15,19694271,
15,17938177,
15,17800521,
15,20538541,
15,16132604,
15,15914896,
15,19541875,
15,18335209,
15,16631927,
15,16568698,
15,23270000,
15,19567344,
15,18277552,
15,19101355,
15,24555833,
15,19973906,
15,23675417,
15,21430625,
15,17213334,
15,17144062,
15,18450104,
15,20744219,
15,18658229,
15,18815208,
15,23385834,
15,20007604,
15,18691875,
15,20702239,
15,20726875,
15,19289531,
15,23991406,
15,22793177,
15,21222864,
15,22168750,
15,21819115,
15,19331302,
15,21004427,
15,22460573,
15,23005261,
15,20520938,
15,20308906,
15,17900730,
15,16976614,
15,17123958,
15,19666615,
15,23509219,
15,21419688,
15,17095104,
15,17507396,
15,22456042,
15,18368229,
15,19042240,
15,16185886,
15,21956823,
15,20570000,
15,26693386,
15,18050729,
15,19251980,
15,21687240,
15,18494062,
15,18476823,
15,16861563,
15,24358385,
15,27051563,
15,18975573,
15,14538281,
15,22448437,
15,16067708,
15,18105052,
15,16120312,
15,15479791,
15,17907708,
15,16290260,
15,15024532,
15,16454948,
15,17836563,
15,15227396,
15,16306145,
15,15300938,
15,16717500,
15,13874167,
15,14754636,
15,16856093,
15,17984740,
15,15851875,
15,16778907,
15,15525937,
15,15950416,
15,17023385,
15,19233073,
15,18777344,
15,14888490,
15,17799167,
15,15474792,
15,16612604,
15,15543385,
15,17019636,
15,14912552,
15,16908177,
15,13973021,
15,14465156,
15,14604948,
15,19973281,
15,15608438,
15,15746823,
15,14832239,
15,14392292,
15,18501354,
15,17347083,
15,19658073,
15,17753438,
15,14372396,
15,17292968,
15,15319948,
15,17397761,
15,16974948,
15,15680417,
15,18951093,
15,16603437,
15,16008021,
15,21843333,
15,15379947,
15,14470989,
15,14183541,
15,16100573,
15,19024063,
15,16329948,
15,20114843,
15,15137344,
15,17073125,
15,15161667,
15,15055209,
15,13977761,
15,17335886,
15,15142084,
15,19172136,
15,17019688,
15,21027239,
15,15631875,
15,18382760,
15,16521406,
15,13597135,
15,19648542,
15,17512657,
15,16314479,
15,16113333,
15,17194062,
15,17781510,
15,16769791,
15,15086510,
15,14891302,
15,16069115,
15,19008281,
15,17015208,
15,15889219,
15,16124791,
15,14286302,
15,20910416,
15,16980782,
15,15679791,
15,17685937,
15,20788020,
15,17612812,
15,21678750,
15,18873645,
15,17608490,
15,15307708,
15,16968802,
15,16544428,
15,15782761,
15,14654011,
15,14992709,
15,16952552,
15,16697031,
15,14243593,
15,15931250,
15,19699219,
15,16975677,
15,15654010,
15,15069271,
15,14533854,
15,14168229,
15,14484687,
15,17907813,
15,16892865,
15,15670052,
15,16231928,
15,23284948,
15,17281719,
15,15438178,
15,13970260,
15,14345677,
15,15022917,
15,17985885,
15,16400521,
15,15173437,
15,17581927,
15,15843802,
15,15758802,
15,15217865,
15,17127865,
15,18576875,
15,14329740,
15,16031823,
15,16486927,
15,14267291,
15,16190729,
15,19415938,
15,22081719,
15,16135990,
15,18344219,
15,16866666,
15,13929583,
15,16776822,
15,15550989,
15,23473490,
15,17406198,
15,18654583,
15,19614010,
15,18774219,
15,15920260,
15,19808854,
15,14626511,
15,13946562,
15,20625573,
15,17035313,
15,14065000,
15,17668959,
15,15412760,
15,16845781,
15,14260365,
15,19204635,
15,16226250,
15,21221667,
15,17453750,
15,15202760,
15,17312136,
15,19122708,
15,17037813,
15,17064115,
15,23877292,
15,17596927,
15,15138854,
15,14946406,
15,18445885,
15,15820938,
15,15376458,
15,17823854,
15,15404063,
15,15676562,
15,16989375,
15,18477916,
15,15762448,
15,15149636,
15,15048073,
15,16334531,
15,15904844,
