quality,ts,
13,19,43185312,
19,19,43391719,
7,19,14411563,
1,19,25415052,
71725,19,21371198,
2911,19,21211042,
2917,19,22932657,
71731,19,59090781,
71719,19,66351094,
2923,19,24387916,
31357,19,20075104,
31363,19,22148645,
31351,19,16811198,
31345,19,17138073,
44647,19,23468593,
44653,19,25590417,
44641,19,19833646,
63391,19,17355781,
63397,19,18821146,
63385,19,18103021,
65287,19,17233750,
65293,19,21566875,
65281,19,18146927,
67105,19,22046302,
67111,19,27911979,
68647,19,20282396,
68641,19,27379792,
68653,19,16054427,
68659,19,21318802,
70213,19,15868855,
70207,19,18868437,
70219,19,16827396,
70201,19,16731719,
72433,19,20065990,
72439,19,19679323,
72451,19,19286146,
72445,19,20431614,
73723,19,16615417,
73705,19,19110260,
73711,19,16426980,
73717,19,14492656,
74761,19,21578282,
74767,19,22470000,
74779,19,32021459,
75919,19,19600990,
75925,19,19665937,
75931,19,17103542,
75913,19,16591041,
77071,19,19837969,
77077,19,20597343,
77083,19,24557864,
77065,19,16724948,
79021,19,22797760,
79027,19,24119947,
79015,19,18948750,
79009,19,15341355,
82183,19,18366146,
82177,19,27479063,
82189,19,30297708,
82195,19,20835209,
88765,19,17095937,
88771,19,20377917,
94645,19,20332969,
94651,19,24143177,
99781,19,19931875,
99787,19,19934948,
99973,19,17907239,
99979,19,21390469,
3931,19,17050209,
3925,19,20783489,
10861,19,19337083,
10867,19,20303282,
15541,19,21151875,
15547,19,21320052,
15427,19,14790417,
15421,19,17444115,
21205,19,19394844,
21211,19,20627657,
25141,19,18497656,
25147,19,21118333,
26059,19,20390729,
26053,19,25452760,
26125,19,20467604,
26131,19,24770990,
26845,19,18473177,
26851,19,19568646,
27565,19,20515104,
27571,19,23654895,
28309,19,18223229,
28315,19,21743959,
29581,19,20841823,
29587,19,24574323,
29629,19,19504323,
29635,19,18662396,
94813,19,21301354,
94819,19,21752083,
88759,19,27233125,
88753,19,20742344,
94639,19,21476562,
94633,19,21488125,
99769,19,24427916,
99775,19,19921354,
3727,19,20115417,
3721,19,28051771,
3733,19,30303750,
3739,19,14965261,
10705,19,18376146,
10723,19,19939636,
10711,19,24751563,
10717,19,19308542,
15391,19,23532604,
15397,19,22978489,
15385,19,19519479,
15403,19,20954114,
21175,19,21169114,
21169,19,32033698,
21181,19,20642708,
21187,19,24706146,
25111,19,20989427,
25117,19,23793698,
25123,19,19920156,
25105,19,21677083,
26017,19,19184895,
26023,19,17610156,
26029,19,17057031,
26035,19,17113177,
26761,19,16863333,
26779,19,18012656,
26767,19,18021614,
26773,19,17938021,
27481,19,16603958,
27487,19,15720990,
27493,19,17904114,
27499,19,15967292,
28213,19,16300364,
28207,19,18584010,
28201,19,14421615,
29515,19,14157657,
29509,19,16637344,
29503,19,16621927,
29497,19,14890468,
31753,19,15799427,
31759,19,15987656,
31765,19,16577343,
33205,19,16874792,
33199,19,19192864,
33193,19,20138958,
31873,19,18739323,
31879,19,16218906,
31885,19,18614636,
29689,19,17349791,
29695,19,19932344,
29701,19,19680468,
29521,19,16580157,
29527,19,15051458,
29533,19,16696093,
28225,19,15015208,
28231,19,14714219,
28237,19,14075677,
28297,19,15535000,
28303,19,14328802,
28309,19,20858646,
27553,19,17571458,
27559,19,17528490,
27565,19,20133750,
27649,19,15389583,
27655,19,14861563,
27661,19,21763750,
26935,19,18420625,
26929,19,20038959,
26941,19,18272500,
26953,19,15387032,
26959,19,16762395,
26965,19,17885521,
26191,19,17851094,
26197,19,18675261,
26185,19,21874583,
26215,19,15744375,
26209,19,20029688,
26221,19,15384531,
33211,19,22567812,
33817,19,19540416,
33823,19,19607656,
33829,19,15020261,
33835,19,14989844,
34405,19,17245260,
34399,19,22939323,
34393,19,14308750,
35353,19,18593281,
35359,19,17727344,
35365,19,15949375,
36103,19,16552447,
36109,19,18095313,
36097,19,16140364,
36793,19,18902553,
36799,19,17576302,
36805,19,18817187,
36811,19,17968646,
37531,19,16219427,
37525,19,18226927,
37519,19,17030885,
37513,19,17256615,
38959,19,15752708,
38971,19,17620729,
38965,19,20027813,
38953,19,18147760,
39103,19,16217188,
39109,19,16442865,
38989,19,17821875,
38983,19,21386979,
37543,19,15282761,
37549,19,17608489,
37591,19,19762187,
37597,19,20087708,
37621,19,18170729,
37615,19,19853385,
37669,19,16316614,
37663,19,19200000,
36901,19,15084636,
36895,19,17218229,
36925,19,20450209,
36919,19,22219167,
36967,19,17225104,
36973,19,16113750,
36991,19,17954219,
36997,19,17587604,
36229,19,15341094,
36223,19,16853333,
36247,19,19683177,
36253,19,18897187,
36271,19,14764688,
36277,19,17691146,
35527,19,16459479,
35533,19,18275729,
35551,19,16865833,
35557,19,18359791,
35581,19,17433333,
35575,19,19919010,
34765,19,15169270,
34759,19,18000000,
34783,19,15812240,
34789,19,15858020,
34807,19,17225468,
34813,19,17453855,
34837,19,17532396,
34831,19,18545521,
34735,19,18817969,
34741,19,18460312,
34711,19,17912656,
34717,19,20237865,
34693,19,15757552,
34687,19,18929115,
34663,19,17455521,
34669,19,16882604,
34639,19,16056459,
34645,19,19119479,
34621,19,15613333,
34615,19,18626927,
34573,19,16979896,
34567,19,21259167,
34549,19,15165677,
34543,19,17593594,
34471,19,17977292,
34477,19,16249010,
35431,19,15053073,
35437,19,14515156,
35383,19,18212240,
35389,19,17646198,
35503,19,15782500,
35509,19,15186458,
35359,19,16116927,
35365,19,18626667,
35353,19,17658334,
35371,19,16555052,
36103,19,17176198,
36109,19,18165521,
36097,19,15176927,
36115,19,16638958,
36799,19,17553854,
36793,19,18496667,
36805,19,16485781,
34399,19,17129479,
34405,19,16010313,
34393,19,18257187,
34411,19,17287656,
33835,19,15991094,
33829,19,18725417,
33823,19,16571614,
33817,19,16167240,
33205,19,16112031,
33199,19,19180052,
33211,19,16932136,
33193,19,16302396,
31759,19,19133542,
31765,19,19168542,
31771,19,18142500,
31753,19,16229063,
29503,19,19999844,
29509,19,18891771,
29515,19,20132292,
29497,19,21548021,
28207,19,18260365,
28213,19,20401875,
28219,19,14741458,
27493,19,14021927,
27487,19,16416406,
27499,19,17381927,
27481,19,18598177,
26779,19,17768177,
26773,19,20131198,
26767,19,16835781,
26761,19,19213802,
26017,19,14598646,
26023,19,16839427,
26035,19,19717239,
26029,19,19925521,
25105,19,19476771,
25111,19,18018281,
25117,19,14428177,
25123,19,17069531,
21175,19,16499219,
21181,19,16598906,
21187,19,17740156,
21169,19,15708021,
15397,19,15132083,
15403,19,15047343,
15391,19,16571719,
15385,19,19655052,
10705,19,17828437,
10711,19,17337761,
10717,19,17418802,
10723,19,18682032,
3733,19,17853906,
3727,19,20220104,
3739,19,16753698,
3721,19,17623333,
99769,19,16452396,
99775,19,15357917,
99781,19,14693385,
99787,19,15034323,
94651,19,17989323,
94645,19,20070000,
94639,19,15643698,
88753,19,17073698,
88759,19,15444271,
88765,19,14911198,
88771,19,15921823,
82189,19,16364219,
82195,19,17834479,
82177,19,21966354,
82183,19,19896198,
79009,19,15821094,
79027,19,18118959,
79015,19,15555417,
79021,19,13310938,
77071,19,17300104,
77065,19,19747135,
77077,19,17477083,
77083,19,17335052,
75913,19,14928906,
75925,19,15947084,
75919,19,21285729,
75931,19,19405677,
74767,19,17785677,
74773,19,17540209,
74779,19,17859739,
73711,19,15145365,
73717,19,14043333,
73723,19,16115000,
72433,19,15647292,
72451,19,17780156,
72439,19,17217604,
72445,19,14717344,
79543,19,21638437,
79549,19,20310573,
79555,19,18426666,
70207,19,19180364,
70213,19,18075573,
70219,19,19825312,
70201,19,18181667,
68653,19,16292552,
68659,19,18146198,
68641,19,23551198,
67105,19,19339219,
67111,19,18740886,
67117,19,18064166,
67123,19,17063750,
65293,19,15715364,
65299,19,17945520,
65287,19,16109739,
65281,19,17363854,
63391,19,14861927,
63397,19,19514896,
63385,19,13881875,
63403,19,14592239,
44647,19,18695573,
44653,19,17195104,
44659,19,17109270,
44641,19,16917969,
31345,19,16601458,
31351,19,19636615,
31357,19,17046302,
31363,19,17133750,
2917,19,16242656,
2923,19,17485052,
2911,19,16034740,
2905,19,17359947,
71719,19,16580677,
71725,19,15064167,
71731,19,16090730,
71713,19,15969219,
1,19,16618073,
72415,19,19139219,
72421,19,18326198,
72427,19,17374636,
3685,19,15501823,
3679,19,17097969,
3691,19,15248489,
31375,19,16855000,
31381,19,16280938,
31387,19,15362031,
44671,19,14041718,
44677,19,15628073,
44683,19,16103489,
44743,19,14377813,
44749,19,14838906,
44755,19,17540625,
63463,19,15346511,
63475,19,16952865,
63469,19,18772396,
63547,19,19379167,
63535,19,21204322,
63541,19,23927708,
31663,19,18667604,
31675,19,16423021,
31669,19,19381094,
2887,19,18449375,
2893,19,16867136,
31,19,19994323,
37,19,19137656,
535,19,15742552,
541,19,17017084,
1303,19,15336771,
1309,19,16929479,
1333,19,15363334,
1327,19,18029947,
2839,19,15175834,
2845,19,15169271,
2869,19,17505000,
2863,19,18169479,
2857,19,16063906,
2833,19,16115625,
1321,19,22412864,
1297,19,19356927,
72097,19,16275365,
72109,19,17128230,
72103,19,21190260,
71821,19,15156198,
71809,19,17552396,
71815,19,17261459,
71737,19,13841875,
71749,19,15077969,
71743,19,18439844,
72409,19,20304948,
3673,19,18013281,
68647,19,17915104,
72439,19,23287656,
72445,19,22743698,
72433,19,18208959,
72451,19,16724688,
73711,19,17599583,
73717,19,17653802,
73705,19,17287448,
73723,19,16095521,
74773,19,18807187,
74779,19,18528073,
74761,19,19436094,
74767,19,15342656,
75931,19,18332500,
75913,19,18949427,
75925,19,23645677,
75919,19,15401511,
77065,19,17949584,
77071,19,17006771,
77077,19,16824584,
77083,19,16670469,
79015,19,18765469,
79021,19,17876823,
79009,19,18622240,
82177,19,17493125,
82189,19,16097448,
82183,19,20706822,
82195,19,16694323,
88753,19,16699115,
88759,19,18490677,
88765,19,20717032,
94645,19,19522135,
94639,19,22055885,
94651,19,18709219,
94633,19,18810209,
99775,19,18229688,
99781,19,17878229,
99787,19,16439739,
99769,19,14652916,
3727,19,17866041,
3733,19,17854219,
3739,19,18551979,
3721,19,14974687,
10711,19,17563750,
10717,19,17008541,
10705,19,16690834,
10723,19,17243489,
15391,19,13859427,
15397,19,15394427,
15403,19,16076510,
15385,19,14861980,
88771,19,18575417,
79027,19,18256406,
77665,19,18528854,
77671,19,17471041,
77677,19,18098072,
76297,19,15288125,
76309,19,16580468,
76303,19,18227344,
75937,19,14765052,
75943,19,17683437,
75949,19,19492344,
74893,19,16812761,
74881,19,19863438,
74887,19,18271250,
74917,19,15847604,
74905,19,20218490,
74911,19,18399375,
73801,19,17058177,
73807,19,17068281,
73813,19,17412239,
73873,19,14795364,
73879,19,15020729,
73885,19,18489896,
73999,19,18132240,
73993,19,19137396,
74005,19,17872292,
72865,19,16893750,
72871,19,15159218,
72877,19,14900312,
72937,19,18434740,
72943,19,20811094,
72949,19,19597709,
70855,19,18073907,
70849,19,19902240,
70861,19,18349583,
70873,19,15381927,
70885,19,17457448,
70879,19,17736042,
69199,19,15096615,
