quality,ts,
31,17,55988542,
21,17,65337031,
11,17,65346198,
1,17,22017553,
119541,17,18261145,
4861,17,16741614,
4871,17,21609584,
4851,17,15970729,
119531,17,72710625,
52271,17,16846042,
52241,17,15714948,
52251,17,15538906,
52261,17,68494739,
74411,17,15138958,
74421,17,17558385,
74401,17,18339531,
105651,17,15392864,
105661,17,15825729,
105641,17,20222917,
108811,17,19363229,
108821,17,22508177,
108801,17,17566719,
111841,17,21019063,
111851,17,24202343,
114401,17,16422656,
114411,17,18797604,
114421,17,18321875,
114431,17,24578594,
117011,17,23967500,
117021,17,26302136,
117001,17,19259948,
117031,17,22285677,
120751,17,17450157,
120731,17,17953438,
120741,17,22339479,
120721,17,19716771,
122871,17,18022135,
122841,17,21432135,
122851,17,22168229,
122861,17,19272916,
124631,17,20418385,
124601,17,18739167,
124611,17,17175417,
126531,17,19651302,
126541,17,18285417,
126551,17,19273593,
126521,17,15636197,
128451,17,18166563,
128471,17,25249948,
128461,17,28150937,
128441,17,16376718,
131701,17,21253750,
131691,17,17227552,
131681,17,20276666,
131711,17,24076250,
136961,17,17590000,
136971,17,20132083,
136981,17,18464010,
136991,17,20870677,
147941,17,19037708,
147951,17,22305521,
157741,17,17869687,
157751,17,25268177,
166301,17,17735000,
166311,17,20374895,
166621,17,16360208,
166631,17,18081875,
6541,17,17606979,
6551,17,23587448,
18101,17,19054218,
18111,17,18079428,
25701,17,17837291,
25711,17,20811459,
35341,17,18133489,
35351,17,16922083,
41901,17,19855833,
41911,17,22747552,
43421,17,21780834,
43431,17,19009427,
43541,17,19759271,
44741,17,17908073,
44751,17,17910572,
45941,17,20439479,
45951,17,17059843,
47181,17,15448438,
47191,17,17573021,
49381,17,23153490,
49391,17,20574740,
49301,17,19129063,
25901,17,21424271,
147931,17,23053594,
147921,17,21639583,
157731,17,24985938,
157721,17,20957448,
166281,17,21401093,
166291,17,16160834,
6201,17,19240833,
6211,17,21841667,
6231,17,18836770,
6221,17,19332604,
17871,17,20126666,
17841,17,20113021,
17851,17,25895833,
17861,17,20715365,
25651,17,20618386,
25641,17,21696302,
25661,17,19642813,
25671,17,21624895,
35281,17,20331406,
35291,17,23155520,
35301,17,23407969,
35311,17,22009948,
41851,17,22635052,
41861,17,21091458,
41871,17,19630729,
41841,17,18356510,
43361,17,18244792,
43371,17,21753542,
43381,17,20518959,
43391,17,19117917,
44631,17,20344219,
44611,17,15310938,
44621,17,16674271,
44601,17,14674480,
45801,17,20219895,
45811,17,21163698,
45831,17,15903803,
45821,17,20106250,
47011,17,15010208,
47001,17,14632917,
49181,17,14777865,
49171,17,16906198,
49191,17,16050156,
49161,17,15959115,
52931,17,17983125,
52941,17,15954011,
52921,17,15907396,
55321,17,14080989,
55331,17,13763646,
55341,17,16853021,
53121,17,17512812,
53131,17,19487761,
53141,17,17847864,
49481,17,21607187,
49491,17,18819636,
49201,17,17196823,
49211,17,18822604,
49221,17,14798333,
47041,17,18125625,
47051,17,19287552,
47061,17,15547916,
47161,17,18299428,
47171,17,16875260,
47181,17,17733541,
45921,17,17819844,
45931,17,15768854,
45941,17,15424791,
46081,17,14893958,
46091,17,17090208,
46101,17,18871875,
44881,17,17233594,
44891,17,15751667,
44901,17,21645990,
44921,17,19274167,
44931,17,17953541,
44941,17,14652343,
43641,17,14909843,
43691,17,14675156,
43681,17,18474583,
